area,state,a_median,a_pct10,a_pct25,a_pct75,a_pct90
Abilene,TX,47096.59649122807,31627.01754385965,38100.0350877193,58140.52631578947,70476.0070671378
Aguadilla-Isabela,PR,28787.16346153846,20556.53846153846,23760.721153846152,36941.63461538462,45111.06280193237
Akron,OH,54828.51851851852,36269.14110429448,44119.54918032787,67639.0041493776,80155.06329113925
Albany,GA,46217.944664031624,30135.494071146244,36429.09090909091,57225.458167330675,69350.6072874494
Albany,OR,52356.78571428572,37517.98418972332,44254.466403162056,62871.38888888889,74747.4297188755
Albany-Schenectady-Troy,NY,62972.20103986135,43098.90410958904,51317.886597938144,75273.9222614841,88668.12727272727
Albuquerque,NM,53937.24206349206,37447.99212598425,44785.79881656805,66493.2,79035.12195121951
Alexandria,LA,44906.640316205536,30374.44881889764,36834.68503937008,55369.52569169961,66945.21739130435
Allentown-Bethlehem-Easton,PA,56646.7572815534,38737.10727969349,46671.46153846154,70464.1015625,84132.34468937876
Altoona,PA,48137.53968253968,32230.711462450592,39046.086956521736,58120.28,70472.48995983935
Amarillo,TX,49631.36111111111,32923.240997229914,40272.797783933514,61701.727019498605,73181.01983002832
Ames,IA,53705.846774193546,36535.180722891564,43716.02409638554,65428.0081300813,77836.68032786885
Anchorage,AK,65081.861575179,43537.36966824644,52715.04739336493,78780.31553398058,93493.78109452737
Ann Arbor,MI,61639.846153846156,42093.31154684096,50420.91703056769,75487.69401330377,88592.61467889909
Anniston-Oxford-Jacksonville,AL,43988.44036697248,30318.08219178082,36378.12785388128,53833.48623853211,64755.68807339449
Appleton,WI,54049.86486486487,37531.478494623654,44223.80053908356,65553.20652173914,77906.3085399449
Arecibo,PR,27060.063694267516,19941.019108280256,22637.1974522293,33654.71337579618,43070.509554140124
Asheville,NC,50691.336302895324,35418.69757174393,42334.02654867257,61488.69369369369,74129.1156462585
Athens-Clarke County,GA,48489.83922829582,32001.153846153848,39158.044871794875,59751.45631067961,73338.16993464052
Atlanta-Sandy Springs-Roswell,GA,56821.62824207493,37330.42613636364,46032.56776034237,70822.03784570597,84070.45180722892
Atlantic City-Hammonton,NJ,58166.56891495601,41138.28488372093,48503.895348837206,71771.0294117647,83091.99395770393
Auburn-Opelika,AL,49042.50965250965,33353.86973180077,40377.08812260536,60598.249027237354,70483.76
Augusta-Richmond County,GA,50334.69298245614,32536.63755458515,40275.0655021834,62499.53744493392,74962.8216704289
Austin-Round Rock,TX,57283.112582781454,38489.72176759411,46585.36945812808,71728.40266222962,82808.99130434783
Bakersfield,CA,61067.830578512396,42076.67351129364,49753.04526748971,75960.77244258873,89761.06837606838
Baltimore-Columbia-Towson,MD,60890.68148148148,41537.52186588921,50007.6798825257,74792.53731343284,87737.04160246532
Bangor,ME,52713.59322033898,38649.254237288136,44249.08474576271,62651.33105802048,73491.44827586207
Barnstable Town,MA,62266.49700598802,43851.96428571428,51766.07142857143,76221.14803625377,90978.53211009175
Baton Rouge,LA,51796.699410609035,34199.4324853229,41800.05870841487,65022.14990138067,78196.30522088353
Battle Creek,MI,54446.72340425532,37071.617021276594,44535.82978723404,66078.0686695279,77383.95652173914
Bay City,MI,51124.75409836065,34243.15217391304,41344.02173913043,63121.80327868852,74704.72222222222
Beaumont-Port Arthur,TX,53018.21428571428,34414.97448979592,41906.301020408166,66733.8717948718,80088.56020942409
Beckley,WV,45053.333333333336,30694.928909952607,37027.58293838862,55429.71291866029,66255.29126213593
Bellingham,WA,59063.46268656717,42618.125,49265.59523809524,71203.45345345345,84355.8912386707
Bend-Redmond,OR,55389.295774647886,40835.37604456824,46914.22969187675,67188.41807909604,79375.64469914041
Billings,MT,52886.64788732395,36779.075630252104,43840.19662921348,64521.107954545456,76351.4367816092
Binghamton,NY,55601.35294117647,39124.3567251462,45934.649122807015,68893.91691394658,79633.33333333333
Birmingham-Hoover,AL,53552.89962825279,36513.38858195212,43294.25925925926,65541.5037593985,77554.1359223301
Bismarck,ND,57483.97350993378,40953.86138613861,47614.13907284768,68648.13333333333,81489.02356902357
Blacksburg-Christiansburg-Radford,VA,52763.010380622836,36002.54295532646,43646.6323024055,64641.70138888889,78499.57597173145
Bloomington,IL,52272.771929824565,34459.05923344948,42168.885017421606,66844.73684210527,81234.82269503546
Bloomington,IN,50407.30627306273,35367.142857142855,42762.16117216117,63282.324723247235,76782.50936329587
Bloomsburg-Berwick,PA,50797.38693467337,34597.95,42153.8,62190.757575757576,69838.63157894737
Boise City,ID,51163.9430894309,34236.46464646464,41580.121703853954,63708.455284552845,77664.46721311475
Boston-Cambridge-Nashua,MA,67445.87168758718,46427.4043715847,54868.756906077346,82254.45390070922,94558.05389221557
Boulder,CO,66625.99537037036,46109.29061784897,54960.45871559633,79528.00947867299,91365.76732673268
Bowling Green,KY,46978.020833333336,32333.11418685121,38363.506944444445,57431.73611111111,68917.0979020979
Bremerton-Silverdale,WA,63873.948220064725,45493.3870967742,53010.16129032258,75342.35294117648,87495.08250825082
Bridgeport-Stamford-Norwalk,CT,68245.38,46954.46850393701,55728.84920634921,83099.42857142857,95740.10893246188
Brownsville-Harlingen,TX,44115.014492753624,28795.594202898552,35037.50724637681,54304.489795918365,65587.7485380117
Brunswick,GA,46378.36448598131,29518.93023255814,37068.79069767442,58881.173708920185,71624.54545454546
Buffalo-Cheektowaga-Niagara Falls,NY,59407.56896551724,41515.65143824027,48574.905982905984,72603.9652173913,84049.27536231885
Burlington,NC,48762.17054263566,33647.730769230766,40812.653846153844,60729.61240310078,71735.41501976285
Burlington-South Burlington,VT,56793.93530997304,40495.81769436997,47492.06434316354,69143.54054054055,82658.44686648501
California-Lexington Park,MD,67112.06008583691,44829.10256410256,53645.407725321886,82676.62337662338,93183.43891402715
Canton-Massillon,OH,50284.03940886699,34010.0,41096.32352941176,61340.94527363184,73006.54040404041
Cape Coral-Fort Myers,FL,50676.18510158014,35309.575892857145,41206.40449438202,63022.681818181816,74730.46728971963
Cape Girardeau,MO,44722.59911894273,31661.048034934498,37419.781659388645,55225.53097345133,67268.70535714286
Carbondale-Marion,IL,51241.082251082255,34792.28448275862,42001.81034482759,61226.40350877193,74739.25438596492
Carson City,NV,52852.73224043716,37008.260869565216,43820.87431693989,64022.74725274725,77778.45303867404
Casper,WY,52354.3961352657,36552.644230769234,43556.49038461538,64283.719806763285,78498.68932038835
Cedar Rapids,IA,53644.939467312346,36461.57004830918,43680.84541062802,64932.77372262774,78006.35696821516
Chambersburg-Waynesboro,PA,52981.422924901184,36104.1568627451,43313.188976377955,64741.15079365079,73210.97959183673
Champaign-Urbana,IL,54226.878787878784,38110.08928571428,44082.5,67783.69696969698,81242.4923076923
Charleston,WV,48992.49291784703,34031.4606741573,41234.35393258427,59870.05698005698,72288.67816091955
Charleston-North Charleston,SC,54500.0408997955,35754.57317073171,43586.183673469386,67125.57613168724,81270.37422037421
